Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,hoary bat,,Accepted,No,Approved,Present,,Native,,Unknown,Migratory,,,3,,,,SU,,,G3G4,CO: S3S4B
,ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,88713,179994,Active,Myotis ciliolabrum,Western small-footed myotis,,Accepted,No,Approved,Present,,Native,,,,,,,2,,,,,,G5,CO: S4
,ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,long-eared myotis,,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,3,1,9,,SC,,,G5,CO: S4
,ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,little brown bat,,Accepted,No,Approved,Present,,Native,,Unknown,Resident,,,3,2,2,,UR,,,G3G4,CO: S4
,ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,Fringed Myotis,,Accepted,No,Approved,Present,,Native,,,,,,,2,,,SC,,,G4,CO: S3
,ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,long-legged myotis,,Accepted,No,Approved,Present,,Native,,Unknown,Resident,,,3,2,3,,SC,,,G4G5,CO: S5
,ROMO,Rocky Mountain National Park,Mammal,1,Lagomorpha,Leporidae,89638,180112,Active,Lepus americanus,snowshoe hare,,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,3,,9,,,,,G5,CO: S5
,ROMO,Rocky Mountain National Park,Mammal,1,Lagomorpha,Leporidae,89644,180118,Active,Lepus townsendii,white-tailed jackrabbit,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,1,,3,,,,,G5,CO: S4
,ROMO,Rocky Mountain National Park,Mammal,1,Lagomorpha,Leporidae,89651,180124,Active,Sylvilagus floridanus,"Eastern Cottontail, Florida cottontail",,Undecided,No,In Review,Unconfirmed,,,,,,,,,,1,,,,,G5,CO: S5
,ROMO,Rocky Mountain National Park,Mammal,1,Lagomorpha,Leporidae,89653,180126,Active,Sylvilagus nuttallii,nuttall's cottontail,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,2,,5,,,,,G5,CO: S5
,ROMO,Rocky Mountain National Park,Mammal,1,Lagomorpha,Ochotonidae,89634,180109,Active,Ochotona princeps,pika,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,2,27,,RT,,,G5,CO: S5
,ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,beaver,,Accepted,No,Approved,Present,,Native,,Uncommon,Exploitation Concern; Breeder,,,5,,25,,,,,G5,CO: S4
,ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,90763,180294,Active,Clethrionomys gapperi,southern red-backed vole,,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,1,,20,,,,,G5,CO: S5
,ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,91750,180355,Active,Lagurus curtatus,sagebrush vole,,Undecided,No,In Review,Unconfirmed,,Native,,,,,,1,,,,,,,,
