Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,GLAC,Glacier National Park,Mammal,1,Soricomorpha,Soricidae,88122,179929,Active,Sorex cinereus,masked shrew,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,,,,,,,G5,MT: S5
,GLAC,Glacier National Park,Mammal,1,Soricomorpha,Soricidae,88660,179946,Active,Sorex hoyi,pygmy shrew,,Accepted,No,Approved,Probably Present,,Native,,,,,,,,,,,,,G5,
,GLAC,Glacier National Park,Mammal,1,Soricomorpha,Soricidae,88665,179950,Active,Sorex monticolus,montane shrew,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,,,1,,,,,,
,GLAC,Glacier National Park,Mammal,1,Soricomorpha,Soricidae,88127,179933,Active,Sorex palustris,northern water shrew,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,1,,,,,G5,
,GLAC,Glacier National Park,Mammal,1,Soricomorpha,Soricidae,88126,179932,Active,Sorex vagrans,vagrant shrew,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,,,2,,,,,G5,MT: S5
,GLAC,Glacier National Park,Bird,2,Accipitriformes,Accipitridae,79517,175309,Active,Accipiter cooperii,Cooper's Hawk,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,SC,,,G5,MT: S4B
,GLAC,Glacier National Park,Bird,2,Accipitriformes,Accipitridae,79508,175300,Active,Accipiter gentilis,Northern Goshawk,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,RT,,,G5,MT: S3
,GLAC,Glacier National Park,Bird,2,Accipitriformes,Accipitridae,79512,175304,Active,Accipiter striatus,Sharp-shinned Hawk,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,SC,,,G5,MT: S4B
,GLAC,Glacier National Park,Bird,2,Accipitriformes,Accipitridae,80429,175407,Active,Aquila chrysaetos,Golden Eagle,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,SC,,,G5,MT: S3
,GLAC,Glacier National Park,Bird,2,Accipitriformes,Accipitridae,79563,175350,Active,Buteo jamaicensis,Red-tailed Hawk,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,,,,50,,,G5,MT: S5B
,GLAC,Glacier National Park,Bird,2,Accipitriformes,Accipitridae,80391,175373,Active,Buteo lagopus,Rough-legged Hawk,,Accepted,No,Approved,Present,,Native,,Rare,Migratory,,,1,,,,SC,,,G5,MT: S5N
,GLAC,Glacier National Park,Bird,2,Accipitriformes,Accipitridae,79572,175359,Active,Buteo lineatus,Red-shouldered Hawk,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,,,,,SC,,,G5,
,GLAC,Glacier National Park,Bird,2,Accipitriformes,Accipitridae,79579,175365,Active,Buteo platypterus,Broad-winged Hawk,,Accepted,No,Approved,Present,,Native,,Rare,Vagrant,,,,,,,,,,G5,MT: SNA
,GLAC,Glacier National Park,Bird,2,Accipitriformes,Accipitridae,80395,175377,Active,Buteo regalis,Ferruginous Hawk,,Accepted,No,Approved,Present,,Native,,Rare,Vagrant,,,1,,,,RT,MT: SOC,,G4,MT: S3B
,GLAC,Glacier National Park,Bird,2,Accipitriformes,Accipitridae,79581,175367,Active,Buteo swainsoni,Swainson's Hawk,,Accepted,No,Approved,Present,,Native,,Rare,Vagrant,,,1,,,,"RT,SC",,,G5,MT: S4B
,GLAC,Glacier National Park,Bird,2,Accipitriformes,Accipitridae,80455,175430,Active,Circus cyaneus,Northern Harrier,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,SC,,,,
,GLAC,Glacier National Park,Bird,2,Accipitriformes,Accipitridae,80444,175420,Active,Haliaeetus leucocephalus,Bald Eagle,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,DM,,,G5,MT: S4
,GLAC,Glacier National Park,Bird,2,Accipitriformes,Cathartidae,79468,175265,Active,Cathartes aura,Turkey Vulture,,Accepted,No,Approved,Present,,Native,,Rare,Migratory,,,1,,,,SC,,,G5,MT: S4B
,GLAC,Glacier National Park,Bird,2,Accipitriformes,Pandionidae,81838,175590,Active,Pandion haliaetus,Osprey,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,,,,SC,,,G5,MT: S5B
