Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88733,180010,Active,Euderma maculatum,"Pinto Bat, Spotted Bat",,Accepted,No,Approved,Unconfirmed,,Native,,,,,,5,,,,SC,"ID: Protected Nongame; MT: SOC; WY: NSS4(Bc),SOC",,G4,ID: S3; MT: S3; WY: S1S2B
,YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,"Black Bat, Silver-black Bat, Silver-haired Bat",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,8,1,,,SC,ID: Protected Nongame; MT: PSOC; WY: SOPC,,G3G4,ID: S3; MT: S4; WY: S3B
,YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,"Hoary Bat, Northern Hoary Bat",,Accepted,No,Approved,Present,,Native,,Uncommon,,,,6,,,,SU,ID: Protected Nongame; MT: SOC; WY: SOPC,,G3G4,ID: S3; MT: S3B; WY: S4B
,YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,"California Myotis, Californian Myotis",,Accepted,No,Approved,Present,,Unknown,,Unknown,,,,2,,,,SC,ID: Protected Nongame,,G5,ID: S3; MT: S4; WY: SNA
,YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88713,179994,Active,Myotis ciliolabrum,"Small-footed Myotis, western small-footed bat, Western Small-footed Myotis",Myotis leibii,Accepted,No,Approved,Unconfirmed,,Native,,,,,,6,,,,,"ID: Protected Nongame; WY: NSS4(Cb),SOPC",,G5,ID: S3; MT: S4; WY: S4B
,YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,"Long-eared Myotis, Western Long-eared Bat",,Accepted,No,Approved,Probably Present,,Native,,,,,,7,,,,SC,"ID: Protected Nongame; WY: NSS4(Cb),SOPC",,G5,ID: S3; MT: S3; WY: S4S5B
,YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,8,,4,,UR,"ID: Protected Nongame; MT: SOC; WY: NSS3(Bb),SOPC",,G3G4,ID: S3; MT: S3; WY: SNR
,YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,Fringed Myotis,,Accepted,No,Approved,Present,,Native,,Rare,,,,4,1,,,SC,"ID: Protected Nongame; MT: SOC; WY: NSS3(Bb),SOC",,G4,ID: S3; MT: S3; WY: S2S3B
,YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,Long-legged Myotis,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,7,,,,SC,"ID: Protected Nongame; WY: NSS4(Cb),SOPC",,G4G5,ID: S3; MT: S3; WY: S4S5B
,YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88726,180004,Active,Myotis yumanensis,Yuma Myotis,,Accepted,No,Approved,Probably Present,,Native,,,,,,3,,,,SC,"ID: Protected Nongame; MT: SOC; WY: NSS4(Cb),SOC",,G5,ID: S3; MT: S3; WY: S1
,YELL,Yellowstone National Park,Mammal,1,Lagomorpha,Leporidae,89638,180112,Active,Lepus americanus,"Snowshoe Hare, Varying Hare",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,3,17,,,,ID: Upland Game Animal,,G5,ID: S3; MT: S4; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Lagomorpha,Leporidae,89644,180118,Active,Lepus townsendii,"White-tailed Jack Rabbit, White-tailed Jackrabbit",,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,3,2,1,,,ID: Predatory,,G5,ID: S4; MT: S4; WY: S4
